sample	H9.24h_066	H9.96h_029	H9.96h_180	H9.96h_095	H9.72h_094	H9.96h_056	H9.96h_165	H9.72h_050	H9.00hb4s_067	H9.72h_072	H9.12h_103	H9.96h_023	H9.36h_110	H9.24h_052	H9.72h_125	H9.96h_184	H9.36h_058	H9.96h_182	H9.72h_128	H9.96h_146	H9.96h_110	H9.96h_072	H9.72h_106	H9.72h_086	H9.36h_086	H9.36h_084	H9.96h_056	H9.72h_097	H9.00hb4s_056	H9.00hb4s_084	H9.24h_063	H9.96h_123	H9.00hb4s_058	H9.36h_112	H9.24h_054	H9.36h_163	H9.36h_083	H9.96h_179	H9.72h_034	H9.00hb4s_045	H9.00hb4s_096	H9.36h_010	H9.72h_068	H9.36h_029	H9.24h_029	H9.36h_147	H9.12h_062	H9.12h_043	H9.96h_104	H9.36h_103	H9.24h_021	H9.96h_192	H9.36h_126	H9.36h_171	H9.72h_105	H9.96h_040	H9.00hb4s_072	H9.72h_016	H9.12h_005	H9.36h_101	H9.00hb4s_087	H9.00hb4s_067	H9.96h_021	H9.72h_077	H9.36h_109	H9.00hb4s_053	H9.36h_119	H9.96h_184	H9.72h_029	H9.96h_059	H9.72h_040	H9.36h_170	H9.96h_039	H9.96h_116	H9.96h_169	H9.96h_175	H9.00hb4s_078	H9.96h_113	H9.36h_103	H9.36h_176	H9.96h_182	H9.36h_092	H9.96h_015	H9.96h_081	H9.96h_158	H9.36h_074	H9.36h_159	H9.24h_075	H9.72h_113	H9.12h_038	H9.96h_098	H9.24h_026	H9.72h_035	H9.24h_033	H9.00hb4s_016	H9.96h_114	H9.72h_087	H9.96h_160	H9.36h_096	H9.72h_111
ABCC4	0.0	0.0	6.9542	5.858	0.0	2.3219	0.0	1.0	0.0	5.7814	3.0	0.0	0.0	0.0	0.0	1.585	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.7636	5.7004	2.3219	0.0	2.8074	0.0	0.0	4.2032	0.0	6.0264	8.0661	7.9886	4.858	1.585	0.0	0.0	5.4263	3.3219	1.585	0.0	0.0	5.2854	0.0	2.3219	0.0	7.098	0.0	0.0	7.622	8.3619	0.0	6.9773	0.0	4.4594	1.0	4.9547	7.6073	0.0	0.0	8.5195	3.7004	6.6865	4.3219	1.585	0.0	4.2479	0.5558	3.319	0.0	0.0	0.0	6.2095	0.0	0.0	7.098	3.9088	0.0	4.7549	0.0	0.0	0.0	3.8063	6.5392	0.0	4.9542	2.8074	0.0	3.3219	1.585	0.0	0.0	1.0	5.3923	7.0661	2.1667	5.2887
ACE2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8265	0.0	0.0	0.0	0.0	8.633	0.0	0.0	0.0	0.0	0.0	0.0	10.1446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACSL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3923	0.0	0.0	0.0	7.6653	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0875	2.0	0.0	6.9189	0.0	3.8074	0.0	0.0	0.0	0.0	0.0	0.0	7.2946	0.0	2.3219	1.0	0.0	0.0	0.0	6.2854	0.0	7.0	1.585	0.0	5.0444	0.0	6.2854	0.0	1.0	0.0	0.0	2.3219	4.8074	0.0	3.8074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8074	1.0	0.0	4.9069	0.0	6.2479	0.0	0.0	0.0	0.0	3.3219
ACTA2	0.0	0.0	0.0	0.0	7.0227	2.8074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.8074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8797	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.9658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.96	0.0	8.3738	0.0	0.0	9.4959	3.9069	0.5656	0.0	0.0	0.0	0.0	0.4114	0.0	0.0	1.0	9.4297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5236	0.0	7.5156	0.0	0.0
ACTC1	6.7415	4.0	4.0875	5.2095	11.9948	13.0055	8.3811	4.4594	0.0	4.0072	4.9069	12.4222	1.0286	3.4594	6.6724	8.082	3.3334	2.8074	4.8171	5.3172	3.3219	5.9307	6.3756	6.2225	1.585	6.3156	13.0055	5.585	6.6813	2.585	1.0	3.1699	6.5078	1.585	7.3789	5.5509	6.2288	3.4594	5.6444	1.585	4.3219	2.0	7.6328	6.4864	7.152	0.0	5.9319	7.1191	4.1699	6.4363	7.0117	4.5856	4.9069	5.5154	6.916	10.0054	3.4594	7.7945	2.3219	4.7549	0.0	0.0	4.2479	13.2089	6.3626	0.0	5.2795	8.082	7.5681	13.6854	6.7004	0.0	11.8552	9.1521	3.2016	4.9547	0.0	7.119	6.4363	5.6596	2.8074	3.332	7.1384	4.9528	3.1699	3.8074	7.1991	7.1958	4.6439	5.1293	8.8941	7.6436	10.2859	6.0	5.5957	9.0785	6.9224	8.7973	0.0	5.9649
ADAM22	1.585	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9542	0.0	0.0	5.3923	0.0	0.0	2.0	0.0	4.7004	0.0	5.6427	0.0	0.0	5.3923	0.0	0.0	0.0	0.0	0.0	7.0334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.9542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	6.3398	6.4757	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AFF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.585	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1699	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7549	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9855	0.0	0.0	0.0	0.0
ALCAM	0.0	3.8074	5.4594	5.5546	7.9484	10.4835	8.5774	4.7549	7.5392	7.8827	0.0	10.6821	6.585	0.0	8.2095	9.1368	2.8074	6.6565	5.4594	6.7944	6.0875	12.7459	6.858	8.5999	8.2273	8.5546	10.4835	5.6724	2.585	0.0	0.0	6.6147	4.7549	6.739	6.4094	6.4946	7.9887	9.2432	3.9079	0.0	5.7824	7.3038	6.7279	6.9189	1.585	6.8074	8.2046	1.0	7.4179	7.7347	0.0	8.092	5.858	1.0	6.304	9.8329	7.1699	2.9946	3.3219	7.3838	8.0279	7.5392	6.5544	0.0	6.5999	0.0	6.6582	9.1368	5.9307	9.2668	3.1699	2.0	10.9773	7.7895	9.4489	1.585	0.0	6.9425	7.7347	8.3024	6.6565	7.1997	10.0943	10.0981	8.8424	0.0	7.6724	0.0	1.585	4.2479	9.6987	1.0	6.0	3.3219	6.6865	10.8709	6.5999	8.7781	8.3836	7.6724
ALDH1A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3923	0.0	6.2854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9877	0.0	6.2479	0.0	0.0
AMY2B	0.0	0.0	0.0	1.4647	0.0	0.0	0.0	0.0	0.0	0.0	1.585	5.0712	0.0	0.0	0.0	0.0	3.0374	0.0	0.0	0.0	0.0	0.0	0.0	2.3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2479	2.852	0.0	0.9709	0.0	1.0	0.0	0.0	0.0	2.319	0.9561	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7398	0.0	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6599	0.0	1.6369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.585	0.0	0.0	0.0
