sample	H9_Batch1.055	H1_Exp2.142	TB_Batch2.123	EC_Batch1.017	H9_Batch2.107	H9_Batch2.156	H1_Exp2.140	H1_Exp3.236	TB_Batch2.110	HFF_Batch2.120	DEC_Batch2.130	NPC_Batch2.151	NPC_Batch2.107	H1_Exp1.011	H1_Exp2.087	H9_Batch1.046	DEC_Batch2.124	H1_Exp1.048	DEC_Batch2.136	DEC_Batch1.052	H9_Batch2.158	EC_Batch1.018	H9_Batch2.143	H9_Batch1.029	DEC_Batch1.026	H1_Exp1.064	H9_Batch2.131	H9_Batch2.150	H1_Exp2.139	EC_Batch1.071	EC_Batch1.040	H1_Exp3.281	NPC_Batch2.094	TB_Batch2.099	HFF_Batch2.075	HFF_Batch2.077	H1_Exp1.064	H1_Exp2.091	DEC_Batch2.087	H1_Exp1.017	HFF_Batch3.142	DEC_Batch1.040	DEC_Batch1.012	HFF_Batch1.039	NPC_Batch1.086	H9_Batch2.129	NPC_Batch1.024	HFF_Batch2.056	H1_Exp2.104	HFF_Batch1.038	H9_Batch2.108	EC_Batch1.037	NPC_Batch1.051	NPC_Batch1.030	H9_Batch1.073	EC_Batch1.020	H1_Exp2.108	H1_Exp2.091	DEC_Batch1.037	NPC_Batch2.145	EC_Batch2.112	HFF_Batch3.148	DEC_Batch1.026	HFF_Batch2.054	H1_Exp2.088	H9_Batch1.006	DEC_Batch1.024	H1_Exp1.019	EC_Batch1.020	DEC_Batch2.098	HFF_Batch1.016	H1_Exp2.085	H9_Batch2.131	DEC_Batch1.026	HFF_Batch1.043	DEC_Batch1.062	H1_Exp2.153	HFF_Batch2.101	NPC_Batch1.022	NPC_Batch1.027	DEC_Batch2.102	HFF_Batch3.150	NPC_Batch2.090	DEC_Batch2.106	H1_Exp1.052	HFF_Batch1.031	H1_Exp1.007	H1_Exp2.085	H9_Batch2.131	NPC_Batch1.082	NPC_Batch1.044	H9_Batch2.151	H1_Exp3.263	H9_Batch1.080	H9_Batch2.147	NPC_Batch1.009	DEC_Batch2.095	NPC_Batch1.082	HFF_Batch1.041	H1_Exp2.152
APOA2	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	0.6768	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	3.3044	-0.3632	2.8616	2.961	-0.3632	-0.3632	-0.3632	-0.3632	2.9088	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	3.1664	1.4382	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	2.9835	-0.3632	-0.3632	-0.3632	2.9088	-0.3632	-0.3632	-0.3632	2.915	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	2.9088	-0.3632	1.8331	-0.3632	-0.3632	-0.3632	-0.3632	2.6049	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	-0.3632	3.1772	-0.3632	-0.3632	-0.3632
FABP5	0.5308	0.7821	-0.9261	-2.8099	0.6803	0.5526	0.6959	0.6079	0.1142	0.451	0.5383	0.5848	0.2328	0.457	0.6226	0.6795	0.5437	0.7109	0.4917	-0.1127	0.5528	-1.8332	0.5146	0.6032	0.1515	0.6227	0.6702	0.6353	0.573	-0.0968	-2.8099	0.8062	0.3738	0.4411	0.2515	0.4072	0.6227	0.6661	-1.4717	0.3488	-2.8099	0.7622	0.6208	0.5677	-0.7474	0.6818	0.3699	0.0764	0.665	0.3584	0.5925	-2.8099	-2.8099	0.3329	0.6059	-2.8099	0.5235	0.6661	0.4072	0.3782	-0.4182	0.3587	0.1515	0.4099	0.6422	0.6118	0.0507	0.3787	-2.8099	-1.8332	-0.3571	0.5391	0.6702	0.1515	-0.1541	0.4826	0.1355	0.4531	-0.2456	-2.8099	0.1934	0.1391	0.0337	0.3641	0.418	0.4672	0.437	0.5391	0.6702	0.1162	0.1891	0.7048	0.564	0.6115	0.6744	-0.0303	0.095	0.1162	0.3755	0.4389
RCSD1	-0.2854	-0.2854	-0.2854	4.0395	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	4.2554	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	4.1197	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	3.0677	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	1.0658	-0.2854	-0.2854	-0.2854	3.757	-0.2854	-0.2854	-0.2854	-0.2854	4.2997	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	3.757	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854	-0.2854
ICAM2	-0.3511	-0.3511	-0.3511	3.114	-0.3511	2.5311	-0.3511	1.361	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	3.3025	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	3.2682	3.128	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	2.5114	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	2.1311	3.2232	-0.3511	-0.3511	-0.3511	-0.3511	3.1871	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	3.2232	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	0.6374	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511	-0.3511
KPNA2	0.329	0.5653	0.1743	-0.7229	0.6083	0.5244	0.3191	0.4556	0.38	-0.0683	0.4345	-0.0327	0.372	0.324	0.7068	0.5267	0.1798	0.893	-0.4335	0.1711	0.4477	-6.8161	0.7117	0.6895	-0.0854	0.5505	0.463	0.6844	0.3807	-0.0075	-0.7408	0.6733	0.128	0.2152	-1.5807	-0.2986	0.5505	0.095	-0.0788	-0.0998	-1.6684	0.2867	0.1222	0.225	0.5285	0.3744	0.885	0.0732	0.5471	0.9071	0.5356	0.1346	0.4395	0.2484	0.5211	0.9264	0.053	0.095	-0.1763	0.1649	0.0823	-0.2122	-0.0854	-0.1462	0.4285	0.1715	0.5442	0.0406	0.9264	-2.2748	-0.1102	0.2629	0.463	-0.0854	-1.1078	0.156	-0.4833	0.1698	0.8805	0.1664	-0.356	-1.4213	0.1999	0.3654	0.6397	0.0028	0.1555	0.2629	0.463	0.3722	0.0869	0.5827	0.7231	0.5077	0.3919	-0.8499	-0.9424	0.3722	-1.2723	0.0011
ARID5B	-0.9241	-0.9241	1.3509	1.3355	-0.9241	0.5976	-0.9241	-0.9241	1.251	1.4275	0.5063	-0.9241	-0.3147	-0.9241	-0.9241	-0.9241	0.2514	-0.9241	1.2807	-0.9241	1.1163	-0.9241	-0.9241	-0.9241	-0.9241	-0.9241	-0.9241	-0.9241	-0.9241	1.2942	-0.9241	-0.9241	-0.3147	1.3427	1.3763	1.248	-0.9241	-0.9241	0.0419	-0.9241	1.4409	-0.9241	-0.3147	1.5314	-0.9241	-0.9241	1.0214	1.2646	0.7162	1.518	-0.9241	1.3805	-0.9241	-0.9241	-0.9241	-0.9241	0.7206	-0.9241	-0.9241	0.8874	-0.9241	1.3803	-0.9241	1.431	-0.9241	-0.9241	0.4367	-0.9241	-0.9241	-0.0891	1.4269	0.9418	-0.9241	-0.9241	1.5095	-0.9241	-0.9241	1.4531	-0.9241	-0.9241	0.1315	1.2585	0.6578	0.5459	-0.9241	1.5508	0.2514	0.9418	-0.9241	-0.9241	-0.9241	-0.9241	-0.9241	-0.9241	0.8406	0.8872	0.7371	-0.9241	1.4372	0.7346
PLVAP	-0.3669	-0.3669	-0.3669	2.861	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	0.5596	-0.3669	3.0351	-0.3669	-0.3669	0.5596	-0.3669	-0.3669	-0.3669	-0.3669	2.9688	2.8386	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	2.7713	-0.3669	-0.3669	-0.3669	3.0103	-0.3669	-0.3669	-0.3669	-0.3669	2.609	-0.3669	0.5596	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	3.0103	-0.3669	-0.3669	-0.3669	-0.3669	0.5596	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669	-0.3669
ACTL6A	0.5497	0.655	0.4064	0.5571	0.5807	0.5656	0.6173	0.4669	0.5003	-0.6125	0.5952	-0.2239	0.456	0.449	0.4196	0.7195	-1.8055	0.5163	0.2492	0.6154	0.4095	-2.7731	0.6089	0.6412	0.5089	0.0352	0.7582	0.5356	-0.8378	0.8298	-2.7731	0.7733	0.1432	0.4177	0.4803	0.5322	0.0352	0.35	0.4567	0.0715	-0.5021	-0.4208	-0.5812	0.5934	-2.7731	0.6181	0.5636	-1.8055	0.6692	0.5368	0.5894	-2.7731	-1.4473	0.4595	0.4146	-0.027	0.4603	0.35	0.5863	0.5244	-1.0971	0.2492	0.5089	0.0582	0.4693	0.35	0.7095	0.2924	-0.027	-2.7731	0.0766	0.2009	0.7582	0.5089	0.2788	0.1394	-0.1119	0.0715	0.4192	0.755	0.2481	0.1923	-0.3572	0.7254	0.5644	-0.3433	0.1432	0.2009	0.7582	0.3619	0.6094	0.6935	-0.1235	0.4222	0.5791	-0.1176	0.1894	0.3619	0.6974	0.4749
DCAF13	0.3867	0.3515	-2.74	-4.0036	0.5789	0.5144	0.4098	0.548	0.3817	0.2188	-0.7373	0.2916	0.3229	0.3446	0.3451	0.4811	-2.0009	0.6512	-0.7894	0.2644	0.5647	0.15	0.59	0.3319	0.2748	0.1808	0.5418	0.4901	0.5534	0.627	0.458	0.7917	0.3965	0.5261	-0.5848	0.3767	0.1808	0.5767	0.3309	0.231	-4.0036	0.1411	0.3932	0.2533	0.4363	0.5041	0.2816	0.2592	0.5187	-1.4236	0.6231	-4.0036	-0.5595	0.3961	0.5338	-0.6634	0.3278	0.5767	0.1747	0.034	0.6221	-0.6983	0.2748	-0.3568	0.5416	0.3669	-1.815	0.2483	-0.6634	0.012	-0.2342	0.4408	0.5418	0.2748	0.5167	0.5688	-0.151	0.6901	0.2122	0.0109	0.2561	-0.5135	-0.9814	0.1109	0.2959	0.3149	0.0879	0.4408	0.5418	0.2742	0.4097	0.6172	0.4906	0.4822	0.499	-0.111	-1.3888	0.2742	-0.0146	0.1444
ASPM	0.4861	0.7129	0.0482	0.3843	0.6865	0.7949	0.6795	0.6209	0.6705	-0.6822	0.7554	0.6534	0.7898	0.5905	0.6675	0.6337	-0.4186	0.9209	0.453	0.271	0.72	-1.897	0.6301	0.7218	-1.897	0.5798	0.7793	0.5688	0.8461	-1.897	-1.1305	0.6549	0.2196	-0.5695	-1.897	-1.897	0.5798	0.4542	-0.5695	0.5099	-1.897	-0.6822	0.6691	-1.1305	0.7908	0.8317	0.9741	-1.897	0.634	0.9811	0.6278	-1.897	0.1817	0.8994	0.7688	1.0523	0.5737	0.4542	-1.897	0.82	-1.897	-1.897	-1.897	-0.6822	0.6354	0.0166	-1.897	0.6854	1.0523	-0.6822	-1.897	0.4283	0.7793	-1.897	-1.897	-1.1305	0.3017	-1.897	0.8745	0.0758	0.3575	0.005	0.7851	-1.1305	0.772	-1.897	0.5955	0.4283	0.7793	0.7601	0.325	0.6718	0.4652	0.7174	0.8659	0.3435	-0.4852	0.7601	-1.897	0.5414
